"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - VIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009,31/12/2008,30/09/2008,30/06/2008,31/03/2008
Ativo Total,771.134,806.747,821.007,827.352,918.008,957.109,984.399,1.085.060,1.177.847,1.239.612,1.307.012,1.436.134,1.469.175,1.515.374,1.531.576,1.613.929,1.665.443,1.914.868,1.976.902,2.210.394,2.361.282,2.380.682,2.575.218,2.857.335,3.091.743,3.132.181,3.118.797,3.164.885,3.096.221,2.929.818,2.524.188,2.384.403,2.301.686,2.244.267,1.938.761,1.844.207,1.795.618,1.817.525,1.667.026,1.714.766,1.655.467,1.574.188
Ativo Circulante,599.575,616.646,627.845,648.685,713.315,720.902,742.538,808.873,889.036,915.369,971.228,1.068.355,1.082.689,1.099.925,1.113.626,1.160.875,1.241.228,1.388.148,1.439.179,1.631.398,1.556.036,1.620.471,1.814.169,1.681.208,1.876.135,1.893.931,1.983.191,1.963.992,1.865.709,1.706.530,1.574.933,1.444.610,1.352.071,1.244.409,988.093,963.724,950.626,966.192,894.681,868.794,982.058,1.038.745
Caixa e Equivalentes de Caixa,9.306,13.754,15.545,17.543,29.396,26.028,33.081,24.601,25.502,24.369,22.738,49.727,46.383,25.356,29.598,47.507,67.698,75.825,77.403,16.364,48.642,30.397,83.967,154.125,100.251,103.992,136.990,225.559,334.572,263.927,190.025,189.302,217.690,279.433,108.942,106.963,117.882,161.391,62.606,37.253,9.898,21.671
Aplicações Financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.644,72.254,94.676,102.100,110.557,106.021,111.525,99.083,104.444,184.383,150.992,238.158,140.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber,303.474,309.915,317.937,328.928,354.172,373.554,386.336,402.896,525.405,543.674,575.263,628.186,621.386,655.755,661.652,676.996,707.552,727.699,767.428,719.936,664.954,676.699,777.270,912.617,1.004.002,1.055.560,996.799,1.007.468,958.014,858.528,806.405,729.599,647.276,493.673,408.005,351.983,357.465,276.165,266.117,273.832,277.777,278.915
Estoques,276.304,282.778,283.909,290.911,314.821,301.701,304.252,361.022,318.491,327.571,353.269,370.121,388.864,391.031,390.248,356.126,334.729,423.444,429.189,730.309,653.944,725.198,709.573,464.305,554.623,535.389,569.130,541.880,513.660,520.141,512.636,517.433,477.830,462.045,461.829,495.636,464.445,516.664,555.064,507.207,656.909,705.870
Ativos Biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar,3.288,3.202,3.287,3.307,4.972,5.036,4.985,10.734,10.820,10.899,11.134,9.384,9.657,9.899,10.818,11.034,20.883,27.363,11.153,6.689,6.611,5.432,6.844,7.812,2.741,14.788,14.196,10.296,10.812,7.911,6.960,0,0,0,0,0,0,0,0,0,0,0
Despesas Antecipadas,73,147,220,652,678,726,852,575,452,664,819,941,947,986,1.242,1.313,1.937,1.565,1.284,1.825,1.974,1.507,2.512,3.289,2.425,3.778,4.639,5.215,5.011,6.193,6.989,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Circulantes,7.130,6.850,6.947,7.344,9.276,13.857,13.032,9.045,8.366,8.192,8.005,9.996,15.452,16.898,20.068,20.255,36.175,37.576,50.622,45.718,73.890,69.713,134.920,34.616,27.710,29.432,23.279,32.680,43.640,49.830,51.918,8.276,9.275,9.258,9.317,9.142,10.834,11.972,10.894,50.502,37.474,32.289
Ativo Realizável a Longo Prazo,152.415,169.620,171.733,156.237,181.284,190.353,194.985,225.623,232.122,259.863,266.852,297.490,313.527,311.175,313.689,343.383,319.104,416.823,421.702,438.968,658.465,607.502,703.244,1.094.373,1.130.260,1.152.609,1.048.795,1.124.497,1.155.845,1.152.586,881.233,871.953,885.408,936.267,886.821,813.879,776.461,781.347,697.335,767.386,597.197,463.092
Aplicações Financeiras Avaliadas a Valor Justo,0,0,0,0,0,0,0,0,0,0,0,0,0,1.352,1.312,1.293,1.265,1.255,1.256,7.074,8.647,8.188,13.795,11.620,8.620,79.432,9.039,119.828,182.932,234.372,25.408,0,0,0,0,0,0,0,0,0,0,0
Aplicações Financeiras Avaliadas ao Custo Amortizado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber,0,14.011,15.110,15.970,18.146,19.307,20.732,21.980,25.769,28.385,29.546,32.641,38.133,38.571,41.602,55.313,52.380,92.534,63.330,58.360,96.277,99.024,113.289,144.030,197.912,195.093,186.095,168.651,144.628,118.765,87.037,814.920,827.892,881.203,814.631,736.174,699.475,692.090,610.119,599.615,457.685,352.900
Estoques,12.504,135.107,134.874,118.057,131.813,138.881,138.855,167.218,167.149,186.179,185.879,193.961,190.642,185.036,186.973,203.638,192.425,252.660,251.900,264.569,458.074,402.221,469.832,839.441,820.993,797.305,766.177,743.012,738.333,717.739,687.388,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos,119.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas Antecipadas,0,1.265,1.262,615,615,615,615,615,615,648,648,590,590,590,590,659,659,659,1.049,818,783,1.141,889,1.300,2.883,2.975,3.269,2.988,3.273,3.460,3.207,0,0,0,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas,1.271,5.041,4.516,5.582,6.083,5.970,5.940,5.179,4.934,5.885,5.814,11.802,11.937,12.560,10.357,10.884,1.166,1.152,1.088,3.656,2.177,3.368,983,897,294,299,562,413,243,280,258,54.136,53.931,50.314,66.828,70.866,70.385,81.258,78.602,88.705,67.870,51.711
