"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"07.11.2018","0,63","0,59","0,63","0,56","58,64M","3,28%"
"06.11.2018","0,61","0,59","0,73","0,58","75,38M","-6,15%"
"05.11.2018","0,65","0,53","0,65","0,51","72,65M","30,00%"
"01.11.2018","0,50","0,44","0,51","0,43","49,90M","21,95%"
"31.10.2018","0,41","0,39","0,42","0,32","45,87M","-6,82%"
"30.10.2018","0,44","0,55","0,56","0,43","42,68M","-20,00%"
"29.10.2018","0,55","0,58","0,59","0,51","41,34M","0,00%"
"26.10.2018","0,55","0,49","0,62","0,48","48,76M","-8,33%"
"25.10.2018","0,60","0,77","0,81","0,53","78,26M","-14,29%"
"24.10.2018","0,70","0,62","0,76","0,60","110,68M","37,25%"
"23.10.2018","0,51","0,32","0,54","0,31","83,82M","45,71%"
"22.10.2018","0,35","0,37","0,38","0,34","55,77M","25,00%"
"19.10.2018","0,28","0,31","0,32","0,25","40,88M","-6,67%"
"18.10.2018","0,30","0,28","0,34","0,27","52,50M","11,11%"
"17.10.2018","0,27","0,29","0,29","0,25","31,22M","-6,90%"
"16.10.2018","0,29","0,21","0,30","0,20","40,95M","45,00%"
"15.10.2018","0,20","0,20","0,21","0,19","4,50M","0,00%"
"11.10.2018","0,20","0,21","0,22","0,19","11,10M","0,00%"
"10.10.2018","0,20","0,17","0,22","0,17","19,42M","17,65%"
"09.10.2018","0,17","0,17","0,17","0,15","6,12M","0,00%"
"08.10.2018","0,17","0,18","0,18","0,16","2,74M","0,00%"
"05.10.2018","0,17","0,17","0,18","0,17","841,70K","6,25%"
"04.10.2018","0,16","0,17","0,18","0,16","1,24M","-5,88%"
"03.10.2018","0,17","0,17","0,18","0,16","1,14M","0,00%"
"02.10.2018","0,17","0,17","0,18","0,16","3,47M","0,00%"
"01.10.2018","0,17","0,17","0,18","0,16","639,10K","0,00%"
"28.09.2018","0,17","0,18","0,18","0,16","2,81M","0,00%"
"27.09.2018","0,17","0,17","0,18","0,16","1,07M","0,00%"
"26.09.2018","0,17","0,18","0,18","0,16","3,29M","-5,56%"
"25.09.2018","0,18","0,17","0,18","0,16","2,43M","5,88%"
"24.09.2018","0,17","0,17","0,18","0,16","2,80M","0,00%"
"21.09.2018","0,17","0,18","0,19","0,17","3,05M","-5,56%"
"20.09.2018","0,18","0,19","0,19","0,17","5,38M","-5,26%"
"19.09.2018","0,19","0,17","0,21","0,16","15,06M","11,76%"
"18.09.2018","0,17","0,17","0,17","0,16","737,90K","0,00%"
"17.09.2018","0,17","0,18","0,18","0,16","2,01M","-5,56%"
"14.09.2018","0,18","0,19","0,19","0,17","1,58M","0,00%"
"13.09.2018","0,18","0,19","0,19","0,18","389,60K","-5,26%"
"12.09.2018","0,19","0,19","0,19","0,18","888,80K","0,00%"
"11.09.2018","0,19","0,19","0,20","0,18","1,87M","0,00%"
"10.09.2018","0,19","0,20","0,20","0,18","519,70K","0,00%"
"06.09.2018","0,19","0,20","0,20","0,18","668,60K","0,00%"
"05.09.2018","0,19","0,19","0,20","0,18","1,67M","0,00%"
"04.09.2018","0,19","0,20","0,21","0,19","1,45M","-5,00%"
"03.09.2018","0,20","0,20","0,21","0,19","1,89M","0,00%"
"31.08.2018","0,20","0,21","0,21","0,20","536,40K","0,00%"
"30.08.2018","0,20","0,22","0,22","0,20","1,21M","-9,09%"
"29.08.2018","0,22","0,21","0,22","0,20","905,80K","4,76%"
"28.08.2018","0,21","0,21","0,22","0,20","784,60K","0,00%"
"27.08.2018","0,21","0,22","0,22","0,20","894,50K","-4,55%"
"24.08.2018","0,22","0,22","0,23","0,21","740,20K","0,00%"
"23.08.2018","0,22","0,23","0,23","0,22","927,80K","0,00%"
"22.08.2018","0,22","0,22","0,23","0,22","368,60K","0,00%"
"21.08.2018","0,22","0,24","0,24","0,22","1,40M","-4,35%"
"20.08.2018","0,23","0,24","0,24","0,23","1,16M","-4,17%"
"17.08.2018","0,24","0,24","0,24","0,23","509,90K","4,35%"
"16.08.2018","0,23","0,24","0,24","0,23","820,30K","0,00%"
"15.08.2018","0,23","0,23","0,25","0,23","9,00M","-4,17%"
